"Story","Title","Result","Date","Stability","Duration (s)"
"Category Product","As user i have be able to select category","ERROR","2023-05-08T18:51:02.1649606+07:00[Asia/Krasnoyarsk]","0.0","18.37"
"Transaction","As user i make a product transaction","FAILURE","2023-05-08T18:53:01.6491444+07:00[Asia/Krasnoyarsk]","0.0","12.0"
"Transaction","As user i make a product transaction and not complete purchase","FAILURE","2023-05-08T18:53:14.0744628+07:00[Asia/Krasnoyarsk]","0.0","11.06"
"Transaction","As user i make a product transaction and click buy button 7 times","FAILURE","2023-05-08T18:53:25.5206468+07:00[Asia/Krasnoyarsk]","0.0","10.99"
